ID,Risk/Opportunity,Risk/Opportunity Description,Relevant Issue / Interested Party,Risk/Opportunity Owner,Likelihood,Severity / Impact,Risk/Opportunity Level,Risk mitigation/ opportunity description.,Status Closed
285,Risk,Loss of key personnel,Supply Chain,Charlie,1,4,Medium,Mitigation plan 285,Open
286,Opportunity,Positive impact of automation,IT Security,Bob,4,2,Medium,Mitigation plan 286,Open
287,Risk,New market entry opportunity,Environmental,Bob,3,5,Low,Mitigation plan 287,Closed
288,Opportunity,New market entry opportunity,Environmental,Ethan,1,1,Low,Mitigation plan 288,Open
289,Risk,Cybersecurity breach,Customer Satisfaction,Charlie,3,3,High,Mitigation plan 289,Open
290,Opportunity,Data loss due to hardware failure,Customer Satisfaction,Diana,1,3,Low,Mitigation plan 290,In Progress
291,Risk,Positive impact of automation,Regulatory,Alice,2,5,High,Mitigation plan 291,Open
292,Risk,Loss of key personnel,Environmental,Diana,2,3,High,Mitigation plan 292,Open
293,Opportunity,Supplier failure risk,Customer Satisfaction,Fiona,5,2,Medium,Mitigation plan 293,In Progress
294,Opportunity,Cybersecurity breach,Customer Satisfaction,Ethan,5,2,High,Mitigation plan 294,In Progress
295,Opportunity,Positive impact of automation,Regulatory,Fiona,2,2,Medium,Mitigation plan 295,Closed
296,Opportunity,New market entry opportunity,Customer Satisfaction,Ethan,3,3,High,Mitigation plan 296,In Progress
297,Risk,Cybersecurity breach,IT Security,Fiona,4,1,Low,Mitigation plan 297,Closed
298,Opportunity,Compliance with new regulation,Regulatory,Ethan,5,1,High,Mitigation plan 298,Open
299,Opportunity,Data loss due to hardware failure,Supply Chain,Bob,4,2,Medium,Mitigation plan 299,Closed
300,Risk,Supplier failure risk,IT Security,Charlie,2,1,High,Mitigation plan 300,Closed
301,Risk,Positive impact of automation,Environmental,Charlie,5,1,Medium,Mitigation plan 301,In Progress
302,Risk,Supplier failure risk,Supply Chain,Ethan,1,2,High,Mitigation plan 302,Closed
303,Opportunity,New market entry opportunity,Supply Chain,Alice,3,1,Low,Mitigation plan 303,Open
304,Opportunity,Data loss due to hardware failure,Supply Chain,Charlie,4,3,High,Mitigation plan 304,In Progress
305,Risk,Data loss due to hardware failure,Environmental,Ethan,5,1,Medium,Mitigation plan 305,Open
306,Risk,Compliance with new regulation,Customer Satisfaction,Charlie,3,5,Medium,Mitigation plan 306,In Progress
307,Opportunity,Positive impact of automation,IT Security,Ethan,2,3,High,Mitigation plan 307,Open
308,Opportunity,Positive impact of automation,IT Security,Charlie,4,3,High,Mitigation plan 308,In Progress
309,Risk,Data loss due to hardware failure,Regulatory,Ethan,2,4,Medium,Mitigation plan 309,Closed
310,Opportunity,Data loss due to hardware failure,Compliance,Ethan,4,4,Low,Mitigation plan 310,Closed
311,Opportunity,New market entry opportunity,Regulatory,Bob,1,2,High,Mitigation plan 311,Open
312,Risk,Compliance with new regulation,Compliance,Charlie,2,2,High,Mitigation plan 312,In Progress
313,Opportunity,Supplier failure risk,Environmental,Ethan,4,3,Medium,Mitigation plan 313,Open
314,Opportunity,Loss of key personnel,Supply Chain,Alice,5,2,Medium,Mitigation plan 314,Open
315,Opportunity,Supplier failure risk,Regulatory,Charlie,4,3,High,Mitigation plan 315,Open
316,Risk,Compliance with new regulation,Regulatory,Alice,3,2,High,Mitigation plan 316,Closed
317,Opportunity,Positive impact of automation,Compliance,Fiona,5,1,High,Mitigation plan 317,In Progress
318,Opportunity,Supplier failure risk,Customer Satisfaction,Fiona,3,4,Medium,Mitigation plan 318,Open
319,Risk,New market entry opportunity,Customer Satisfaction,Bob,5,1,High,Mitigation plan 319,In Progress
320,Opportunity,Positive impact of automation,Customer Satisfaction,Fiona,2,1,Low,Mitigation plan 320,Closed
321,Opportunity,New market entry opportunity,Customer Satisfaction,Ethan,5,3,High,Mitigation plan 321,Open
322,Opportunity,Compliance with new regulation,Supply Chain,Charlie,4,2,Medium,Mitigation plan 322,Open
323,Risk,Supplier failure risk,Supply Chain,Alice,5,5,Low,Mitigation plan 323,Open
324,Risk,New market entry opportunity,IT Security,Alice,4,2,Medium,Mitigation plan 324,Open
325,Risk,Loss of key personnel,Environmental,Bob,2,4,Low,Mitigation plan 325,In Progress
326,Risk,New market entry opportunity,Customer Satisfaction,Alice,4,2,Low,Mitigation plan 326,In Progress
327,Risk,Positive impact of automation,Environmental,Fiona,5,3,Medium,Mitigation plan 327,Open
328,Risk,Compliance with new regulation,Compliance,Charlie,4,3,Low,Mitigation plan 328,Closed
329,Risk,Compliance with new regulation,IT Security,Diana,2,3,Low,Mitigation plan 329,In Progress
330,Opportunity,Positive impact of automation,IT Security,Fiona,1,4,Medium,Mitigation plan 330,Closed
331,Opportunity,New market entry opportunity,IT Security,Fiona,1,1,Low,Mitigation plan 331,Closed
332,Risk,Data loss due to hardware failure,Supply Chain,Ethan,3,3,Low,Mitigation plan 332,Open
333,Risk,Loss of key personnel,IT Security,Alice,1,1,Medium,Mitigation plan 333,Closed
334,Opportunity,Positive impact of automation,Supply Chain,Alice,4,5,Medium,Mitigation plan 334,Open
335,Risk,Cybersecurity breach,Regulatory,Alice,1,3,High,Mitigation plan 335,Open
336,Opportunity,Cybersecurity breach,Regulatory,Bob,4,4,Low,Mitigation plan 336,Closed
337,Opportunity,Compliance with new regulation,IT Security,Alice,3,2,Low,Mitigation plan 337,Open
338,Risk,Data loss due to hardware failure,Environmental,Ethan,4,2,High,Mitigation plan 338,In Progress
339,Risk,Positive impact of automation,Compliance,Alice,5,4,High,Mitigation plan 339,Closed
340,Risk,Positive impact of automation,Environmental,Ethan,3,2,Medium,Mitigation plan 340,Closed
341,Opportunity,New market entry opportunity,Environmental,Diana,2,5,High,Mitigation plan 341,In Progress
342,Opportunity,Supplier failure risk,IT Security,Ethan,3,4,Medium,Mitigation plan 342,Closed
343,Opportunity,Positive impact of automation,Environmental,Fiona,5,1,High,Mitigation plan 343,Closed
344,Opportunity,Compliance with new regulation,Environmental,Bob,3,4,High,Mitigation plan 344,Closed
345,Risk,Positive impact of automation,Supply Chain,Alice,2,1,High,Mitigation plan 345,In Progress
346,Risk,Compliance with new regulation,Regulatory,Diana,4,2,Low,Mitigation plan 346,Open
347,Opportunity,Supplier failure risk,Compliance,Alice,5,4,Medium,Mitigation plan 347,Open
348,Opportunity,Positive impact of automation,IT Security,Bob,5,3,Low,Mitigation plan 348,In Progress
349,Opportunity,Data loss due to hardware failure,Environmental,Fiona,1,3,Low,Mitigation plan 349,Open
350,Opportunity,New market entry opportunity,Regulatory,Bob,4,4,Low,Mitigation plan 350,In Progress
351,Risk,Positive impact of automation,Compliance,Bob,3,1,Medium,Mitigation plan 351,Open
352,Risk,Data loss due to hardware failure,Compliance,Diana,4,4,High,Mitigation plan 352,Open
353,Risk,Compliance with new regulation,Supply Chain,Fiona,4,4,High,Mitigation plan 353,Open
354,Opportunity,Supplier failure risk,Customer Satisfaction,Diana,2,3,High,Mitigation plan 354,Closed
355,Opportunity,Data loss due to hardware failure,Environmental,Fiona,1,2,Low,Mitigation plan 355,Closed
356,Risk,Positive impact of automation,Customer Satisfaction,Bob,1,2,Low,Mitigation plan 356,Open
357,Opportunity,Data loss due to hardware failure,Compliance,Alice,4,1,Medium,Mitigation plan 357,Open
358,Risk,Positive impact of automation,Compliance,Diana,2,1,Medium,Mitigation plan 358,Closed
359,Opportunity,Supplier failure risk,Environmental,Ethan,1,4,Low,Mitigation plan 359,In Progress
360,Opportunity,Compliance with new regulation,Environmental,Diana,2,4,Medium,Mitigation plan 360,In Progress
361,Opportunity,Data loss due to hardware failure,Customer Satisfaction,Ethan,3,3,Medium,Mitigation plan 361,Open
362,Risk,Supplier failure risk,Compliance,Alice,5,1,Medium,Mitigation plan 362,Open
363,Risk,Compliance with new regulation,IT Security,Diana,3,2,Medium,Mitigation plan 363,Open
364,Opportunity,Compliance with new regulation,Customer Satisfaction,Ethan,3,4,High,Mitigation plan 364,Open
365,Opportunity,Loss of key personnel,IT Security,Fiona,2,3,Medium,Mitigation plan 365,Open
366,Risk,Loss of key personnel,Environmental,Fiona,1,2,High,Mitigation plan 366,In Progress
367,Risk,Positive impact of automation,Regulatory,Bob,1,1,High,Mitigation plan 367,Open
368,Opportunity,Supplier failure risk,Compliance,Bob,3,4,Medium,Mitigation plan 368,In Progress
369,Risk,Cybersecurity breach,Customer Satisfaction,Fiona,1,2,Low,Mitigation plan 369,Closed
370,Risk,Supplier failure risk,Compliance,Fiona,3,4,High,Mitigation plan 370,In Progress
371,Opportunity,Data loss due to hardware failure,Compliance,Alice,2,1,Medium,Mitigation plan 371,Closed
372,Risk,Compliance with new regulation,Customer Satisfaction,Fiona,1,5,Medium,Mitigation plan 372,In Progress
373,Risk,Cybersecurity breach,IT Security,Bob,2,5,Medium,Mitigation plan 373,In Progress
374,Risk,Supplier failure risk,Regulatory,Bob,4,2,Medium,Mitigation plan 374,In Progress
375,Opportunity,New market entry opportunity,Customer Satisfaction,Ethan,4,1,Medium,Mitigation plan 375,In Progress
376,Risk,New market entry opportunity,Supply Chain,Diana,3,1,Low,Mitigation plan 376,Closed
377,Opportunity,Loss of key personnel,Compliance,Alice,4,1,High,Mitigation plan 377,In Progress
378,Opportunity,Compliance with new regulation,Environmental,Diana,3,1,Low,Mitigation plan 378,Closed
379,Opportunity,Compliance with new regulation,Regulatory,Alice,3,3,Medium,Mitigation plan 379,Open
380,Risk,Compliance with new regulation,Supply Chain,Alice,4,1,High,Mitigation plan 380,In Progress
381,Opportunity,Compliance with new regulation,Supply Chain,Fiona,1,5,Medium,Mitigation plan 381,Closed
382,Opportunity,Loss of key personnel,Customer Satisfaction,Bob,3,4,Low,Mitigation plan 382,Closed
383,Risk,Cybersecurity breach,Environmental,Alice,3,1,Medium,Mitigation plan 383,In Progress
384,Risk,New market entry opportunity,Customer Satisfaction,Charlie,4,1,High,Mitigation plan 384,In Progress
385,Risk,Supplier failure risk,Customer Satisfaction,Fiona,5,4,Medium,Mitigation plan 385,In Progress
386,Opportunity,New market entry opportunity,Compliance,Alice,3,3,Low,Mitigation plan 386,Open
387,Opportunity,Cybersecurity breach,Customer Satisfaction,Charlie,1,4,High,Mitigation plan 387,Closed
388,Opportunity,Compliance with new regulation,Supply Chain,Alice,4,4,Low,Mitigation plan 388,Closed
389,Risk,Supplier failure risk,Customer Satisfaction,Charlie,4,5,High,Mitigation plan 389,Closed
390,Opportunity,Cybersecurity breach,Environmental,Bob,5,5,Low,Mitigation plan 390,In Progress
391,Opportunity,Data loss due to hardware failure,Compliance,Bob,4,3,High,Mitigation plan 391,Open
392,Opportunity,Loss of key personnel,Environmental,Ethan,1,5,High,Mitigation plan 392,Open
393,Opportunity,New market entry opportunity,IT Security,Alice,5,2,Medium,Mitigation plan 393,In Progress
394,Risk,Compliance with new regulation,Compliance,Alice,3,3,High,Mitigation plan 394,Open
395,Opportunity,Cybersecurity breach,Customer Satisfaction,Diana,1,5,Medium,Mitigation plan 395,In Progress
396,Risk,Loss of key personnel,Customer Satisfaction,Diana,3,4,Medium,Mitigation plan 396,In Progress
397,Opportunity,Supplier failure risk,Compliance,Ethan,4,1,High,Mitigation plan 397,Closed
398,Opportunity,Compliance with new regulation,Supply Chain,Diana,3,2,Medium,Mitigation plan 398,In Progress
399,Risk,Loss of key personnel,Compliance,Fiona,3,5,High,Mitigation plan 399,Open
400,Risk,Loss of key personnel,Environmental,Bob,1,5,High,Mitigation plan 400,Open
401,Risk,Data loss due to hardware failure,Environmental,Bob,1,5,Low,Mitigation plan 401,Closed
402,Opportunity,Loss of key personnel,Customer Satisfaction,Ethan,1,5,Medium,Mitigation plan 402,In Progress
403,Opportunity,Positive impact of automation,IT Security,Fiona,4,1,Medium,Mitigation plan 403,Closed
404,Opportunity,Cybersecurity breach,Customer Satisfaction,Bob,4,3,Low,Mitigation plan 404,In Progress
405,Risk,Data loss due to hardware failure,Customer Satisfaction,Diana,2,1,Low,Mitigation plan 405,Open
406,Opportunity,New market entry opportunity,IT Security,Alice,4,3,Medium,Mitigation plan 406,Open
407,Risk,Positive impact of automation,IT Security,Fiona,3,4,Medium,Mitigation plan 407,In Progress
408,Opportunity,New market entry opportunity,Environmental,Diana,1,1,High,Mitigation plan 408,Closed
409,Opportunity,Data loss due to hardware failure,Environmental,Diana,1,5,High,Mitigation plan 409,Open
410,Opportunity,Positive impact of automation,Regulatory,Ethan,3,5,High,Mitigation plan 410,In Progress
411,Opportunity,Compliance with new regulation,Compliance,Fiona,4,2,Medium,Mitigation plan 411,In Progress
412,Opportunity,Cybersecurity breach,Compliance,Fiona,2,3,Low,Mitigation plan 412,Closed
413,Opportunity,New market entry opportunity,Supply Chain,Fiona,5,2,Medium,Mitigation plan 413,Closed
414,Opportunity,Cybersecurity breach,Regulatory,Charlie,2,1,High,Mitigation plan 414,In Progress
415,Risk,Positive impact of automation,Compliance,Diana,4,5,Low,Mitigation plan 415,Closed
416,Risk,Data loss due to hardware failure,Regulatory,Alice,4,5,Low,Mitigation plan 416,In Progress
417,Risk,Loss of key personnel,Environmental,Fiona,5,1,High,Mitigation plan 417,Closed
418,Opportunity,Data loss due to hardware failure,Regulatory,Bob,3,3,Medium,Mitigation plan 418,Open
419,Risk,Compliance with new regulation,Customer Satisfaction,Alice,3,1,Low,Mitigation plan 419,Open
420,Opportunity,New market entry opportunity,Regulatory,Alice,3,5,Medium,Mitigation plan 420,Open
421,Risk,New market entry opportunity,Customer Satisfaction,Ethan,4,3,Low,Mitigation plan 421,Open
422,Opportunity,Loss of key personnel,Customer Satisfaction,Ethan,3,2,Low,Mitigation plan 422,Open
423,Risk,Positive impact of automation,IT Security,Diana,5,5,Medium,Mitigation plan 423,Closed
424,Opportunity,Loss of key personnel,IT Security,Fiona,1,2,Low,Mitigation plan 424,Closed
425,Opportunity,New market entry opportunity,Customer Satisfaction,Fiona,5,3,Medium,Mitigation plan 425,In Progress
426,Opportunity,Positive impact of automation,Environmental,Bob,1,4,Medium,Mitigation plan 426,Closed
427,Risk,Cybersecurity breach,Regulatory,Charlie,3,2,Medium,Mitigation plan 427,In Progress
428,Risk,Data loss due to hardware failure,Supply Chain,Alice,1,1,High,Mitigation plan 428,In Progress
429,Risk,New market entry opportunity,Environmental,Charlie,3,2,High,Mitigation plan 429,Closed
430,Risk,Positive impact of automation,Environmental,Fiona,5,3,High,Mitigation plan 430,Open
431,Risk,Compliance with new regulation,Environmental,Diana,5,1,High,Mitigation plan 431,Open
432,Opportunity,Data loss due to hardware failure,Supply Chain,Diana,3,1,High,Mitigation plan 432,Open
433,Opportunity,Data loss due to hardware failure,Compliance,Bob,5,1,Medium,Mitigation plan 433,Open
434,Opportunity,Positive impact of automation,Supply Chain,Diana,3,3,Low,Mitigation plan 434,In Progress
435,Opportunity,Loss of key personnel,Customer Satisfaction,Fiona,1,2,Medium,Mitigation plan 435,Open
436,Risk,New market entry opportunity,Compliance,Fiona,4,1,Medium,Mitigation plan 436,In Progress
437,Opportunity,Loss of key personnel,IT Security,Ethan,4,2,High,Mitigation plan 437,Open
438,Opportunity,Compliance with new regulation,Customer Satisfaction,Charlie,5,2,Medium,Mitigation plan 438,Open
439,Risk,New market entry opportunity,IT Security,Bob,5,2,Low,Mitigation plan 439,Open
440,Risk,Positive impact of automation,Customer Satisfaction,Alice,1,3,Medium,Mitigation plan 440,Closed
441,Opportunity,Positive impact of automation,Supply Chain,Diana,4,4,Low,Mitigation plan 441,In Progress
442,Opportunity,Loss of key personnel,Supply Chain,Ethan,4,5,Medium,Mitigation plan 442,Open
443,Risk,New market entry opportunity,Environmental,Charlie,1,5,High,Mitigation plan 443,Open
444,Risk,Data loss due to hardware failure,IT Security,Ethan,4,1,High,Mitigation plan 444,Open
445,Risk,Compliance with new regulation,IT Security,Ethan,5,4,Low,Mitigation plan 445,Open
446,Risk,Cybersecurity breach,Regulatory,Bob,5,2,High,Mitigation plan 446,In Progress
447,Risk,Loss of key personnel,Supply Chain,Diana,5,2,Medium,Mitigation plan 447,Closed
448,Opportunity,New market entry opportunity,Customer Satisfaction,Fiona,3,5,High,Mitigation plan 448,Closed
449,Opportunity,Supplier failure risk,Environmental,Ethan,5,4,High,Mitigation plan 449,Open
450,Risk,Positive impact of automation,Compliance,Bob,4,3,Low,Mitigation plan 450,Closed
451,Opportunity,Loss of key personnel,Compliance,Diana,4,4,Low,Mitigation plan 451,Open
452,Risk,Data loss due to hardware failure,Regulatory,Bob,1,1,Medium,Mitigation plan 452,Open
453,Opportunity,New market entry opportunity,Customer Satisfaction,Charlie,1,2,Medium,Mitigation plan 453,In Progress
454,Opportunity,Positive impact of automation,Environmental,Diana,4,4,Medium,Mitigation plan 454,Closed
455,Risk,Supplier failure risk,Environmental,Alice,5,3,High,Mitigation plan 455,Open
456,Risk,Positive impact of automation,Compliance,Alice,5,5,Low,Mitigation plan 456,Open
457,Risk,New market entry opportunity,Compliance,Bob,1,3,High,Mitigation plan 457,In Progress
458,Opportunity,Supplier failure risk,Supply Chain,Bob,3,3,High,Mitigation plan 458,Closed
459,Risk,Cybersecurity breach,Environmental,Bob,4,3,High,Mitigation plan 459,Open
460,Risk,Compliance with new regulation,Regulatory,Ethan,3,2,High,Mitigation plan 460,In Progress
461,Risk,New market entry opportunity,IT Security,Bob,5,5,Low,Mitigation plan 461,Open
462,Risk,Loss of key personnel,Environmental,Charlie,3,3,High,Mitigation plan 462,In Progress
463,Opportunity,Loss of key personnel,IT Security,Diana,3,5,High,Mitigation plan 463,In Progress
464,Opportunity,Data loss due to hardware failure,Environmental,Fiona,1,2,Low,Mitigation plan 464,Closed
465,Risk,Loss of key personnel,Regulatory,Fiona,3,3,Low,Mitigation plan 465,Closed
466,Opportunity,Loss of key personnel,Compliance,Ethan,4,4,Medium,Mitigation plan 466,Open
467,Risk,Data loss due to hardware failure,Regulatory,Bob,5,4,Low,Mitigation plan 467,In Progress
468,Opportunity,Supplier failure risk,Regulatory,Alice,5,3,High,Mitigation plan 468,In Progress
469,Risk,Compliance with new regulation,IT Security,Charlie,2,5,Low,Mitigation plan 469,Open
470,Risk,Supplier failure risk,Customer Satisfaction,Alice,5,2,High,Mitigation plan 470,In Progress
471,Opportunity,Supplier failure risk,IT Security,Alice,5,5,High,Mitigation plan 471,Closed
472,Opportunity,Loss of key personnel,Customer Satisfaction,Alice,4,5,Low,Mitigation plan 472,In Progress
473,Opportunity,Compliance with new regulation,Regulatory,Fiona,1,5,Medium,Mitigation plan 473,In Progress
474,Opportunity,Supplier failure risk,Regulatory,Bob,5,2,Medium,Mitigation plan 474,Open
475,Risk,Compliance with new regulation,Supply Chain,Bob,2,1,Medium,Mitigation plan 475,Closed
476,Risk,Positive impact of automation,Compliance,Charlie,1,4,High,Mitigation plan 476,In Progress
477,Opportunity,Positive impact of automation,Environmental,Ethan,5,4,Low,Mitigation plan 477,Open
478,Opportunity,Compliance with new regulation,Supply Chain,Charlie,2,2,High,Mitigation plan 478,In Progress
479,Risk,Loss of key personnel,IT Security,Charlie,2,3,Medium,Mitigation plan 479,In Progress
480,Risk,Data loss due to hardware failure,IT Security,Diana,3,1,Low,Mitigation plan 480,In Progress
481,Opportunity,Positive impact of automation,Customer Satisfaction,Charlie,1,5,Medium,Mitigation plan 481,Open
482,Risk,Cybersecurity breach,Regulatory,Fiona,4,3,Low,Mitigation plan 482,Open
483,Risk,Supplier failure risk,IT Security,Ethan,4,3,High,Mitigation plan 483,In Progress
484,Risk,Positive impact of automation,IT Security,Ethan,2,1,Low,Mitigation plan 484,Closed
485,Risk,New market entry opportunity,Regulatory,Diana,2,4,High,Mitigation plan 485,Open
486,Risk,New market entry opportunity,Regulatory,Bob,3,3,High,Mitigation plan 486,Open
487,Opportunity,Loss of key personnel,Environmental,Charlie,1,4,Low,Mitigation plan 487,Open
488,Risk,Supplier failure risk,IT Security,Fiona,3,2,Medium,Mitigation plan 488,Open
489,Risk,Compliance with new regulation,Regulatory,Charlie,1,4,Low,Mitigation plan 489,Open
490,Opportunity,Loss of key personnel,Customer Satisfaction,Bob,2,1,Medium,Mitigation plan 490,Open
491,Opportunity,Supplier failure risk,Supply Chain,Ethan,4,5,Low,Mitigation plan 491,Closed
492,Opportunity,Supplier failure risk,Customer Satisfaction,Charlie,3,3,Low,Mitigation plan 492,In Progress
493,Risk,Positive impact of automation,Compliance,Ethan,1,3,Medium,Mitigation plan 493,In Progress
494,Risk,New market entry opportunity,Customer Satisfaction,Fiona,3,3,High,Mitigation plan 494,Open
495,Risk,Cybersecurity breach,Regulatory,Alice,3,4,Medium,Mitigation plan 495,In Progress
496,Opportunity,Positive impact of automation,Compliance,Bob,1,4,Low,Mitigation plan 496,Closed
497,Opportunity,Cybersecurity breach,Customer Satisfaction,Bob,5,1,Low,Mitigation plan 497,In Progress
498,Opportunity,Cybersecurity breach,Regulatory,Fiona,5,3,Low,Mitigation plan 498,Closed
499,Opportunity,New market entry opportunity,Customer Satisfaction,Alice,3,5,High,Mitigation plan 499,Closed
500,Opportunity,Cybersecurity breach,Customer Satisfaction,Ethan,2,5,Low,Mitigation plan 500,In Progress
